"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "HTML", "XML", "comment", "blank", "total"
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\ClassSchedule.csproj", "MSBuild", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Controllers\ClassController.cs", "C#", 0, 162, 0, 0, 0, 0, 0, 0, 42, 204
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Controllers\CourseController.cs", "C#", 0, 208, 0, 0, 0, 0, 0, 0, 52, 260
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Controllers\StudentController.cs", "C#", 0, 182, 0, 0, 0, 0, 0, 0, 51, 233
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Controllers\UserController.cs", "C#", 0, 156, 0, 0, 0, 0, 0, 2, 44, 202
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Data\ClassScheduleDbContext.cs", "C#", 0, 165, 0, 0, 0, 0, 0, 1, 11, 177
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Data\RootData.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\DtoParameters\ClassDtoParameters.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\DtoParameters\CourseDtoParameters.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\DtoParameters\DtoPatameters.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\DtoParameters\StudentDtoParameters.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\DtoParameters\UserDtoParameters.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\Class.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\Course.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\Lesson.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\SingleOrDouble.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\Student.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\User.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Entities\WeekDay.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Helpers\PagedList.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 6, 4, 34
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Helpers\ResourceUriType.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Migrations\20200314060340_InitialMigration.Designer.cs", "C#", 0, 152, 0, 0, 0, 0, 0, 1, 35, 188
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Migrations\20200314060340_InitialMigration.cs", "C#", 0, 121, 0, 0, 0, 0, 0, 0, 17, 138
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Migrations\20200315053831_InitialMigration20200315.Designer.cs", "C#", 0, 220, 0, 0, 0, 0, 0, 1, 37, 258
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Migrations\20200315053831_InitialMigration20200315.cs", "C#", 0, 70, 0, 0, 0, 0, 0, 0, 15, 85
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Migrations\ClassScheduleDbContextModelSnapshot.cs", "C#", 0, 218, 0, 0, 0, 0, 0, 1, 37, 256
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Models\ClassAddDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Models\ClassDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Models\ClassUpdateDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Models\CourseAddDto.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Models\CourseDto.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
